poem_name,poem_meter,poem_content,line_count
مقامات أهل الدين عند بني الدنيا,طويل,"مقاماتُ أهلِ الدين عند بني الدُّنيا
مقامات معنيين بالرّتبة العليا
رأوا ربّهم قبل الَّذين يرونهم
فمالوا مع لاإِثبات واطّرحوا النّفيا
ولم يطلبوا إلا رضا الله وحدَه
ولو أسخطوا هذا الأنام بلا ثنيا
ومن كان بالتّحقيق للحق قائلا
تُقُبِّل منه ما يقول ولو أعيا
فكم مالك باغ أصاخ لواعظ
بحق فلم يَسطِع على وعظه بغيا
نواصي ملوك الأرض في يد مالك
يصرّف في مخلوقه الامر والنّهيا
فلا تُرض مَخلُوقاً باسخاطِ خالقٍ
فربّك أولى من يُخَافُ ويُستَحيَا
ومن ىثر المولى على كلٍّ حالة
رأى آمليه في الممات وفي المحيا
فيا من يريد الله حقاً بقوله
تلبث فقد غلّبت دنيا على دنيا
إذا ما جعلت الزيّ برّك والتّقى
فإنّك يوم الحشر أكرمهم زيّا",10
فما فاضلت بيتا ببيتك عامر,طويل,"فَما فاضَلَت بَيتاً بِبَيتِكَ عامِرٌ
إِلى المَجدِ إِلّا كانَ بَيتُكَ أَفضَلا
هُوَ البَيتُ بَيتُ اِبنَي نُفَيلٍ بَنى لَهُ
كِلابٌ وَكَعبٌ ذِروَةً لَن تُحَوَّلا
أَرى اِبنَي نُفَيلٍ مَن يَكونُ أَباً لَهُ
وَعَمّاً فَقَد يَومَ الرِهانِ تَمَهَّلا
عَلى مَن جَرى وَالرافِعينَ أَكُفَّهُم
إِلى كُلِّ فَرعٍ كانَ لِلمَجدِ أَطوَلا
وَمَن يَكُ بَينَ الخالِدَينِ وَأُمُّهُ
صَفِيَّةُ يَثقُل عِزُّهُ أَن يُحَلحَلا
وَكانَ أَبوها وَاِبنُها خَيرَ عامِرٍ
سِماكَينِ لِلهَلكى إِذا الغَيثُ أَمحَلا
أَرى المُقسِمَ المُختارَ عَيلانَ كُلَّها
إِذا هُوَ لَم يَذكُر نُفَيلاً تَحَلَّلا
بَنو أَنفِ قَرمٍ لَم يُدَعثَر سَنامُهُ
رُكوباً وَلَكِن كانَ أَصيَدَ مُرسِلا
إِذا واضَحوهُ المَجدَ جاءَت دِلاؤُهُ
مُلاءً إِذا سَجلٌ مِنَ المَجدِ شَوَّلا
لَهُ طُرُقٌ عادِيَّةٌ يُهتَدى بِها
وَهُم خَيرُ قَيسٍ آخِرِيّاً وَأَوَّلا
بَنو عامِرٍ قَمقامُ قَيسٍ وَفيهِمُ
مَعاقِلُ جانيها إِذا الوِردُ أَثعَلا",11
لنا حاكم فيه انخناث وإنه,طويل,"لنا حاكِمٌ فيه انخِناثٌ وإنَّهُ
يقولُ بأني مولَعٌ بِلُواطِ
لهُ أسهُمٌ في الانفِعال صوائِبٌ
وأسهُمُهُ في الفِعلِ جِدُّ خَواطِ
فَتبّاً لهُ من حاكِمٍ مُتَزَيِّدٍ
وشَيخِ لُواطٍ يَستجِيبُ لِوَاطِ
قد أتى لفظُكَ البَديعُ الّذي خر
رَتْ سجُوداً لُحسنِهِ الألفاظُ
ومَعانيك إنَّهُنَّ وَفاءٌ
وسَخاءٌ ونَجْدةٌ وحِفاظُ
ظِلُّ الفتى ينفَعُ مَنْ دونَهُ
ومالَهُ في ظِلِّهِ حَظُّ",6
بماذا يكون الكشف في آخر العمر,طويل,"أيا نفس إن الأمر غيبٌ فما تدري
بماذا يكون الكشف في آخر العمر
فإمّا بشير باللقاء وبالرضى
على طول عتب بالزيارة للزور
وإمّا بضدّ بل ولا كان ضدّ ذا
تعالى إلهي عن عذابي وعن ضري",3
لقد طمع البشري في ولم يكن,طويل,"لقد طَمِعَ البِشريُّ فيَّ ولم يكنْ
لِيَطْمَعَ فيَّ المرءُ وهو لبيبُ
خلعتُ عليه من ثنائيَ خِلعةً
تَحِنُّ إليها أنفُسٌ وقلوبُ
فقطَّبَ حتى خِلتُ أن قد وَسَمْتُهُ
وذو اللؤمِ فيه ضُجْرَةٌ وقطوبُ
وقاسَمَني جودَ الأمير كأنَّما
له في القوافي السائراتِ نَصيبُ",4
وفى عروة العذرى إن مت أسوة,طويل,"وفى عُروةَ العُذرِىِّ إِن مِتُّ أُسوَةٌ
وَعَمرِو بنِ عجلاَنَ الذى قَتَلَت هِندُ
هَلِ الحُبُّ إِلاّ زَفرَةٌ بَعدَ زَفرَةٍ
وَحَرٌّ عَلَى الأَحشَاءِ لَيسَ لَهُ بَردُ
وَفَيضُ غُرُوبِ العَينِ بِالدّمعِ كُلَّما
بَدَا عَلمٌ مِن أَرضِكُم لم يكُن يَبدُو",3
سقى الله بغداداً وساكنها الحيا,طويل,"سقى اللهُ بغداداً وساكنَها الحيا
دعاء مشوقٍ بالتذكّرِ مولَعِ
تناءت به الأقدارُ عنها فما له
على ذكرها غيرُ الحنين المُرَجَّعِ
هي المنزل المأهول والمربع الذي
له الفخرُ في الدنيا على كلِّ مربعِ
أضاءت ضياءَ الدين منك بماجدِ
مليىءٍ بأسباب الإيالة أروعِ
رآك أميرُ المؤمنين لحكمةٍ
من الله أهلاً للعلا والترفُعِ
فأولاك من نعمائهِ ما رأيته
يزيد على مأمولك المَتوقَّعِ
ولايةَ حكم تحتها كلُّ حاكمٍ
ومرتعَ قرب دونه كل مرتعِ
وإنا لَنرجو فوق ذلك مظهراً
لمجدك من إحسانه المتنوّعِ
أجدَّ له الرحمن سعداً مخلَّداً
وملاّه بالنُعمى وطولِ التمتعِ
وملّكه ما بين شرقٍ ومغربٍ
رقابَ البرايا من عصيٍّ وطيِّعِ
ولولا عُلوُّ السنِّ جئتُك زائراً
لتشركَ عيني في اللذاذة مسمعي
وأشهد بالزوراء ربعاً كأنما
به كان زوراً مولدي وترعرعي
ولكنَّ سبعاً بعد سبعينَ لم تدع
لنفسيَ همَّاً غيرَ رقبة مِضجعي
سلامٌ عليكم واقروا كيف شئتم
سلامي لكم عن زائرٍ ومودِّع",14
رعى الله من لم يرع لي حق صحبة,طويل,"رَعى اللَهُ مَن لَم يَرعَ لي حَقُّ صُحبَةٍ
وَسَلَّمَ مَن لَم يَسخُ لي بِسَلامِهِ
وَفي ذِمَّةِ الرَحمَنِ مَن ذَمَّ صُحبَتي
وَلَم أَكُ يَوماً ناقِضاً لِذِمامِهِ
وَإِنّي عَلى صَبري عَلى فَرطِ هَجرِهِ
وَقُربِ مَغانيهِ وَبُعدِ مَرامِهِ
يُحاوِلُ طَرفي لَحظَةً مِن خَيالِهِ
وَيَشتاقُ سَمعي لَفظَةً مِن كَلامِهِ
وَيَومَ وَقَفنا لِلوَداعِ وَقَد بَدا
بِوَجهٍ يُحاكي البَدرَ عِندَ تَمامِهِ
شَكَوتُ الَّذي أَلقى فَظَلَّ مُقابِلاً
بُكايَ وَشَكوى حالَتي بِاِبتِسامِهِ
بِدَمعٍ يُحاكي لَفظَهُ في اِنتِثارِهِ
وَعَتبٍ يُحاكي ثَغرَهُ في اِنتِظامِهِ
فَما رَقَّ مِن شَكوايَ غَيرُ خُدودِهِ
وَلا لانَ مِن نَجوايَ غَيرُ قَوامِهِ",8
توفى محمود الفضال ولينا,طويل,"تُوفّىَ محمودُ الفِضال وليُّنَا
هو الندبُ عبدُ الله نسلُ الفتى حمدْ
سليلُ ابن درعٍ ذُو تُقى وفضائل
وأهلُ الندَى والجودِ والرشدِ والزهدْ
فتىً همُّه التَّقْوى وطاعةُ خالقٍ
وذِكْر إلهٍ قادر واحدٍ صمدْ
لأَلفٌ مضَى من بعدها مائة خَلَتْ
وأربعةُ الأعوام والعشرُ في العددْ
بعصرِ ابن سلطانِ بن سيفِ بن مالكٍ
إمام الهدَى سيف أخي العدّ والعددْ",5
ويا غافر الذنب اغتفر لي قبائحا,طويل,"ويا غافر الذنب اغتفر لي قبائحاً
تحشمتها في جهرتي وسريرتي
تعودتها لا عذر لي في اقترافها
سوى خستي طبعاً وشدة شهوتي
الهي اكتسب الاثم عمداً كأنه
لكثرة ما آتيه أعظم قربة
جريئاً عليه لا بصيرة ارعوى
لديها ولا أرضى بحكم البصيرة
ينبهني القرآن في غفلة الهوى
فاصدف عنه مستمراً بغفلتي
وما صدني جحد ولكنه هوى
دهاني إلى أن صار وصفي وحليتي
سريع إلى حظ النفوس من الهوى
بطيء عن الخيرات شين الصحيفة
إذا صدعت دعوة الحق التوي
كأن إذا مرت على الاذن صمت
وذلك دأبي غير أني موحد
وتوبي وايماني بفضلك حجتي
أقل عثرتيا غافر الذنب إن لي
يقينا بغفران وجود ورحمة
إذا انتباك المستغفرون بحجة
فجودك ربي حجتي ووسيلتي",11
